MACHINE_ID,WAFER_ID,STAGE,CHAMBER,TIMESTAMP
2,-4230160408,B,5.0,482383387.667
2,-4228160690,A,5.0,481768526.333
2,-4228160690,B,4.0,481795273.667
2,-4228160686,B,4.0,481859637.667
2,-4228160682,A,5.0,481794072.667
2,-4228160670,B,4.0,481868849.0
2,-4228160604,A,4.0,481750418.0
2,-4228160600,B,5.0,481757569.667
2,-4226160424,A,4.0,481699174.333
2,-4226160404,B,4.0,481748075.333
2,-4224160694,B,4.0,481701638.333
2,-4224160650,A,6.0,481701638.333
2,-4224160650,B,4.0,481749657.0
2,-4224160580,B,5.0,481635941.333
2,-4222160590,B,5.0,482540465.0
2,-4222160578,B,4.0,482191683.0
2,-4222160448,A,4.0,482154846.333
2,-4222160432,B,6.0,482179314.333
2,-4222160392,A,4.0,482122333.0
2,-4220160702,A,4.0,482321117.667
2,-4220160702,B,6.0,482362799.667
2,-4220160678,B,6.0,482165954.0
2,-4220160646,A,6.0,482464266.667
2,-4216160658,A,4.0,481951947.667
2,-4216160650,A,4.0,481952545.333
2,-4216160642,A,4.0,482011932.0
2,-4216160640,A,4.0,482357547.333
2,-4216160640,A,6.0,482357763.0
2,-4139512020,B,4.0,482706481.667
2,-4139511854,A,4.0,482658991.333
2,-4139511850,A,5.0,482658991.333
2,-4113511822,B,4.0,481718943.667
2,-4113511818,B,4.0,481697781.333
2,-4113511800,B,4.0,481756276.333
2,-4113511796,B,5.0,481718943.667
2,-4113511764,B,4.0,481737396.333
2,-4113511748,A,4.0,481680709.0
2,-4111511820,B,4.0,481736405.0
2,-4045511868,B,4,484873321.667
2,-4045511868,B,5,484873429.667
2,-4045511836,B,4,484863664.0
2,-4045511832,B,4,484882813.333
2,-4045511832,B,6,484883121.0
2,-4045511824,B,4,484873429.667
2,-4043511808,B,4,484900438.667
2,-4043511570,A,4,484875131.0
2,-4039511784,B,4,486389289.667
2,-4037511828,A,4,485085852.0
2,-4037511816,A,4,485084236.333
2,-4033511582,A,4,485244562.667
2,-4027511790,B,4.0,482839320.0
2,-4027511564,B,4.0,482844960.0
2,-4027511564,B,5.0,482845037.667
2,-4027511560,B,4.0,482928432.333
2,-4027511560,B,4.0,482928492.333
2,-4025511554,A,5.0,483055824.0
2,-4025511496,A,4.0,483212999.667
2,-4021511500,B,4.0,483846672.667
2,-4019511616,B,4.0,484013434.667
2,-3784722766,A,6.0,482574329.667
2,-3780722726,B,4,486875878.0
2,-2701400552,B,4.0,482652379.333
2,-2699400364,A,4.0,482621975.0
2,-2697400536,B,4.0,481635941.333
2,-2579249818,B,6.0,482267269.0
2,-2569250038,A,4,485527439.667
2,-2569250030,A,6,485527439.667
2,-2569250022,B,5,485562334.667
2,-2569249800,A,4,485523279.333
2,-2567249760,B,4,485337064.667
2,-2567249744,A,4,485523491.333
2,-2567249744,B,4,485562334.667
2,-2565250042,B,4.0,482804949.667
2,-2565249998,A,6.0,482676328.0
2,-2565249986,B,6.0,482804949.667
2,-2149929534,A,6.0,483770590.667
2,-2143929718,A,4.0,483055824.0
2,-2141929486,A,5.0,482953558.667
2,-2139929752,B,6.0,483607737.0
2,-2137929690,B,4.0,483502559.333
2,-2135929464,B,6.0,482456324.0
2,-2039929184,B,4.0,484006403.333
2,-2033929438,B,4.0,484135669.0
2,-2033929418,B,6.0,484143704.0
2,-2033929414,A,6.0,484089940.667
2,-1720100534,B,4.0,484465104.0
2,-1718100544,A,4,485029157.0
2,-1718100536,A,4,485030853.667
2,-1716100476,B,4.0,484162706.667
2,-1716100432,A,4.0,483965656.333
2,-1714100690,A,4.0,484181486.667
2,-1714100682,B,4.0,484278744.0
2,-1714100536,B,4.0,484148464.0
2,-1714100536,B,6.0,484148599.333
2,-1714100524,B,4.0,484148599.333
2,-1193530880,A,2.0,482975536.667
2,-903170160,A,4.0,482357763.0
2,-903170156,B,4.0,482427290.333
2,-899170186,A,4.0,481938736.0
2,-899170124,B,4.0,482157692.667
2,-897170406,B,4.0,482329589.0
2,-897170374,B,4.0,482371364.333
2,-879170254,A,4.0,481768526.333
2,-879170254,A,4.0,481768619.667
2,-879170112,A,4.0,481794072.667
2,-879170112,A,4.0,481794241.333
2,-879170100,A,5.0,481795273.667
2,-879170092,A,4.0,481800722.667
2,-879170088,A,4.0,481794438.0
2,-879170072,A,4.0,481798772.667
2,-875170112,B,4.0,481695863.333
2,-873170334,A,5.0,481750418.0
2,-873170318,A,4.0,481698879.333
2,-873170318,B,6.0,481734174.333
2,-873170306,B,4.0,481757569.667
2,-873170272,A,4.0,481662955.0
2,-873170272,B,4.0,481696080.0
2,-873170244,B,5.0,481707368.667
2,31494350,A,4,487266261.333
2,31494362,A,4,487210540.667
2,31494362,A,5,487210618.0
2,31494378,A,4,487210618.0
2,33494136,A,4,487263612.333
2,33494140,B,4,487268030.667
2,33494166,A,6,487263612.333
2,37494386,A,4,486913523.333
