sample_id,partition,policy,variant,fallback
02e436eb18826107a8a1,validation,retrospective,raw_unprotected,False
828c5c6d5d8c61cb58e1,validation,retrospective,raw_unprotected,False
d7ab3019b08390a6cfca,validation,retrospective,raw_unprotected,False
e43846f3cc235cde6504,validation,retrospective,raw_unprotected,False
d11f8b621634b39d02a1,validation,retrospective,raw_unprotected,False
6e95618ca6713de474ae,validation,retrospective,raw_unprotected,False
ba895590c5a78614f6a7,validation,retrospective,raw_unprotected,False
53eaf315e45adf6673c7,validation,retrospective,raw_unprotected,False
a746eb4532a8496fa3fc,validation,retrospective,raw_unprotected,False
4dabe82281322dd9ae8d,validation,retrospective,raw_unprotected,False
92bdd2e8a69face6d0b7,validation,retrospective,raw_unprotected,False
e2982b1b4c3f002e6329,validation,retrospective,raw_unprotected,False
7f6a8a463044f8bedd3d,validation,retrospective,raw_unprotected,False
43e629248987f68e519e,validation,retrospective,raw_unprotected,False
a83de54d465f5cb81ccb,validation,retrospective,raw_unprotected,False
bbab8b2708d9ab5a6aee,validation,retrospective,raw_unprotected,False
2b4a29e6a9f1acebd6f1,validation,retrospective,raw_unprotected,False
c188a41b25b300b96a7a,validation,retrospective,raw_unprotected,False
0c2a9a5204a36526421a,validation,retrospective,raw_unprotected,False
aad8247e4605a919c1f5,validation,retrospective,raw_unprotected,False
9420a085cea3ab285dc0,validation,retrospective,raw_unprotected,False
a5473f8af252e2caeb21,validation,retrospective,raw_unprotected,False
8855d674c5b6858c6318,validation,retrospective,raw_unprotected,False
6638a17cc405df12960e,validation,retrospective,raw_unprotected,False
a4f3938550d07e6b6bd4,validation,retrospective,raw_unprotected,False
6fea2ad58175b6cfd403,validation,retrospective,raw_unprotected,False
5e2cd51318771fb8e12a,validation,retrospective,raw_unprotected,False
8249ff20fcd08f77241f,validation,retrospective,raw_unprotected,False
fbe197aea1f068b2a304,validation,retrospective,raw_unprotected,False
6dc3424dfb73edbc468b,validation,retrospective,raw_unprotected,False
06c305d1b62943d60095,validation,retrospective,raw_unprotected,False
19ee154edb10a2b6819a,validation,retrospective,raw_unprotected,False
ae428e5c9107ba6ff91d,validation,retrospective,raw_unprotected,False
fb04bee46065ca73e235,validation,retrospective,raw_unprotected,False
2916179f75a3796da4ba,validation,retrospective,raw_unprotected,False
eb26ebcfb5fae6e59c49,validation,retrospective,raw_unprotected,False
b004fe14fdaeae2c83b0,validation,retrospective,raw_unprotected,False
4507b20bb310dae1f23d,validation,retrospective,raw_unprotected,False
369cae0991b42cd5e6a3,validation,retrospective,raw_unprotected,False
ecff7508e343e495914e,validation,retrospective,raw_unprotected,False
cbfa9e1817c7bcd758eb,validation,retrospective,raw_unprotected,False
1e3fd5ac2f2b0dbcdebe,validation,retrospective,raw_unprotected,False
37bd4ace14c08990a90b,validation,retrospective,raw_unprotected,False
42e6ea0210140bc76b72,validation,retrospective,raw_unprotected,False
a8d22d4f76707691ab89,validation,retrospective,raw_unprotected,False
78077204d4daf49c8b91,validation,retrospective,raw_unprotected,False
5ecc3ce82801dcac57b8,validation,retrospective,raw_unprotected,False
446bbd30f2fe62b994bb,validation,retrospective,raw_unprotected,False
6499c18f61a0d2643d1c,validation,retrospective,raw_unprotected,False
156af913d16fab3692d6,validation,retrospective,raw_unprotected,False
fe7b9a4c29924993cbd4,validation,retrospective,raw_unprotected,False
a654b953ed1796c42099,validation,retrospective,raw_unprotected,False
d5b120fefe220d7d0e79,validation,retrospective,raw_unprotected,False
4a91e288bfc11ebeeb16,validation,retrospective,raw_unprotected,False
1055c747aa857138a7f8,validation,retrospective,raw_unprotected,False
427b39fb5855c16f4469,validation,retrospective,raw_unprotected,False
011a7963fe00fadf077f,validation,retrospective,raw_unprotected,False
5cc569aa9cba72bc67ce,validation,retrospective,raw_unprotected,False
56bce4d83bd926343204,validation,retrospective,raw_unprotected,False
c1ffcf512c2721588049,validation,retrospective,raw_unprotected,False
f6a26c571ae7839a02c6,validation,retrospective,raw_unprotected,False
40aa8845fc346b8c4f88,validation,retrospective,raw_unprotected,False
c087f61be351b24fe5c0,validation,retrospective,raw_unprotected,False
f27411a15810d6a4859d,validation,retrospective,raw_unprotected,False
ebdfb5da540a6984b84c,validation,retrospective,raw_unprotected,False
36840234905ac67d771a,validation,retrospective,raw_unprotected,False
