sample_id,WAFER_ID,STAGE,condition,qc_primary_missing,qc_primary_episodes,qc_primary_fallback,qc_primary_ambiguous,qc_primary_span,qc_primary_max_gap,qc_primary_phase_duration,qc_secondary_missing,qc_secondary_episodes,qc_secondary_fallback,qc_secondary_ambiguous,qc_secondary_span,qc_secondary_max_gap,qc_secondary_phase_duration,cohort
6e12493812a5f565ce96,-4230160598,A,Cond1,False,3,False,False,185.66699999570847,6.0,70.0,False,3,False,False,159.66699999570847,3.0,70.0,training
2be9803bbdbf02137071,-4230160594,B,Cond2,False,1,False,False,98.0,2.0,69.66699999570847,False,2,False,False,158.0,4.0,70.0,training
0d912928e6272614a0c1,-4230160436,B,Cond2,False,3,False,False,207.66699999570847,5.666999995708466,71.0,False,2,False,False,160.0,3.0,42.0,training
768ed3716ed800b36423,-4230160428,A,Cond1,False,3,False,False,186.0,3.0,71.33399999141693,False,0,True,True,156.33399999141693,3.333999991416931,156.33399999141693,training
116b8abb85ea208280a5,-4230160424,A,Cond1,False,3,False,False,187.0,5.666999995708466,69.0,False,0,True,True,158.0,4.0,158.0,training
0e3a81eb0cb986226385,-4230160424,B,Cond2,False,3,False,False,191.33399999141693,3.0,68.66600000858307,False,0,True,True,156.0,4.0,156.0,training
04afdd1c439211c8389d,-4230160416,B,Cond2,False,3,False,False,199.0,2.6669999957084656,67.0,False,3,False,False,167.33399999141693,6.666999995708466,69.0,training
4da37b8285072d5fce8e,-4230160408,A,Cond1,False,3,False,False,186.0,3.0,69.66699999570847,False,3,False,False,162.66699999570847,5.666999995708466,69.66699999570847,training
733faafbe969be847e96,-4230160408,B,Cond2,False,3,False,False,190.0,4.666000008583069,68.66699999570847,False,3,False,False,160.0,4.0,73.33399999141693,training
bccda63c87bec0a47d9c,-4228160702,A,Cond1,False,3,False,False,188.33300000429153,2.6669999957084656,68.33300000429153,False,0,True,True,156.0,3.0,156.0,training
faf9b118b6bb6efefe7e,-4228160702,B,Cond2,False,3,False,False,196.0,5.666999995708466,66.33300000429153,False,2,False,False,159.66699999570847,2.6669999957084656,72.0,training
cffaf60b05aca089e80d,-4228160698,B,Cond2,False,3,False,False,197.0,5.333000004291534,68.0,False,3,False,False,160.33300000429153,3.6669999957084656,71.0,training
6d54594b80801a7f0163,-4228160694,B,Cond2,False,3,False,False,193.33300000429153,6.333000004291534,68.33300000429153,False,3,False,False,160.0,4.333000004291534,69.66699999570847,training
3abcf2a307208ba996a4,-4228160690,A,Cond1,False,1,False,False,189.33300000429153,2.0,69.66699999570847,False,3,False,False,160.0,3.0,58.0,training
35ebfd06335c31593335,-4228160690,B,Cond2,False,3,False,False,198.33399999141693,2.333999991416931,70.0,False,0,True,True,158.0,3.333999991416931,158.0,training
aabfebf8e14b506d8151,-4228160686,A,Cond1,False,3,False,False,191.66699999570847,2.0,65.66699999570847,False,3,False,False,159.66699999570847,3.0,68.66699999570847,training
