sample_id,partition,policy,variant,fallback
768ed3716ed800b36423,outer_0,retrospective,raw_unprotected,False
116b8abb85ea208280a5,outer_0,retrospective,raw_unprotected,False
4da37b8285072d5fce8e,outer_0,retrospective,raw_unprotected,False
14da02e0a2f258f43603,outer_0,retrospective,raw_unprotected,False
77daff006f1cea9002a0,outer_0,retrospective,raw_unprotected,False
1857a1493ada7d76bed0,outer_0,retrospective,raw_unprotected,False
92d8fe506f357432916d,outer_0,retrospective,raw_unprotected,False
e846bea1cb1c675637b1,outer_0,retrospective,raw_unprotected,False
ba50cafcb4b9a7822c89,outer_0,retrospective,raw_unprotected,False
8d15b2de5138dd86be60,outer_0,retrospective,raw_unprotected,False
453e03f583f92e4e3248,outer_0,retrospective,raw_unprotected,False
74051d2f391a63f8431a,outer_0,retrospective,raw_unprotected,False
ef0ce55340eae7563b1c,outer_0,retrospective,raw_unprotected,False
3c31cc18b1eeb62ef763,outer_0,retrospective,raw_unprotected,False
3e5745badbe990ad0b06,outer_0,retrospective,raw_unprotected,False
041d6559d0ccd87a01af,outer_0,retrospective,raw_unprotected,False
ee7dfee081c5d9ca41cd,outer_0,retrospective,raw_unprotected,False
250617e7063072619ee0,outer_0,retrospective,raw_unprotected,False
1ce3c6b2e7021b990226,outer_0,retrospective,raw_unprotected,False
dfaae2fe4fd0f12fb599,outer_0,retrospective,raw_unprotected,False
f4e15565b1481af0c236,outer_0,retrospective,raw_unprotected,False
93b486b601f1d2b2546a,outer_0,retrospective,raw_unprotected,False
641fa945c9e4a10be8b1,outer_0,retrospective,raw_unprotected,False
87cb7176b9c6d517bfe6,outer_0,retrospective,raw_unprotected,False
065009dcf80d9db0c2c5,outer_0,retrospective,raw_unprotected,False
5915607beccd9fea86f9,outer_0,retrospective,raw_unprotected,False
a2fab8de1d0ed8453a2e,outer_0,retrospective,raw_unprotected,False
c6913b39a81fd7ac4495,outer_0,retrospective,raw_unprotected,False
3ae3d41b2dc600ea6397,outer_0,retrospective,raw_unprotected,False
7c48a414ed1eaa23d6f0,outer_0,retrospective,raw_unprotected,False
1faeb8d5019424019d00,outer_0,retrospective,raw_unprotected,False
a4addb65a3198aeff1ac,outer_0,retrospective,raw_unprotected,False
d4ed41e9d84ffaf012fb,outer_0,retrospective,raw_unprotected,False
cb7d70d527803bacff76,outer_0,retrospective,raw_unprotected,False
4cab8fdcda64caf7d2d1,outer_0,retrospective,raw_unprotected,False
063019c2ea741f6bb697,outer_0,retrospective,raw_unprotected,False
870c67d2afd6fb47ba00,outer_0,retrospective,raw_unprotected,False
1087736cea46dd4723d7,outer_0,retrospective,raw_unprotected,False
f28190f965130285e5fc,outer_0,retrospective,raw_unprotected,False
096ecd48968b85e4dc53,outer_0,retrospective,raw_unprotected,False
3b3f3f05e2ae3ab6a08f,outer_0,retrospective,raw_unprotected,False
e933735624380a9213c7,outer_0,retrospective,raw_unprotected,False
124dc5cc0f23e1f19fb7,outer_0,retrospective,raw_unprotected,False
c92be69667b985bd01a3,outer_0,retrospective,raw_unprotected,False
3bc0793f806ef1d1a2ba,outer_0,retrospective,raw_unprotected,False
eddaa4877bce3c885aaf,outer_0,retrospective,raw_unprotected,False
5acf79ea39c99dfce54b,outer_0,retrospective,raw_unprotected,False
042ee4d01f5cb8a343df,outer_0,retrospective,raw_unprotected,False
33884e368b875d80a794,outer_0,retrospective,raw_unprotected,False
a3a20e4e223549957616,outer_0,retrospective,raw_unprotected,False
8ce4020f4a25c84df3f0,outer_0,retrospective,raw_unprotected,False
bc5d24f5f8e462645a33,outer_0,retrospective,raw_unprotected,False
8d0f0bb85b35026cf2ba,outer_0,retrospective,raw_unprotected,False
c587585e8be44e59b889,outer_0,retrospective,raw_unprotected,False
eb2a20bc9753cf4dc868,outer_0,retrospective,raw_unprotected,False
d51d18f65021ac8ddfcc,outer_0,retrospective,raw_unprotected,False
eb1f457ee6ac6a7ee0a6,outer_0,retrospective,raw_unprotected,False
add06e60e9601d62efc7,outer_0,retrospective,raw_unprotected,False
17dd86ebb31c1048986c,outer_0,retrospective,raw_unprotected,False
5b11336807af53fc300f,outer_0,retrospective,raw_unprotected,False
7e5c1456ff5eab8655cd,outer_0,retrospective,raw_unprotected,False
c59f452bc87c634cb699,outer_0,retrospective,raw_unprotected,False
d3b0a2984f919f4c59e6,outer_0,retrospective,raw_unprotected,False
8419262d6f316adffce3,outer_0,retrospective,raw_unprotected,False
e2b85fd872c749e2d1b1,outer_0,retrospective,raw_unprotected,False
1f1f3a09923d7461c537,outer_0,retrospective,raw_unprotected,False
