sample_id,WAFER_ID,STAGE,condition,group_id,start,end,truth,partition,policy,model,prediction,evaluation,absolute_error
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,raw_unprotected,50.21680034964454,nested_oof,22.93159965035546
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,raw_guarded,82.21892336428571,nested_oof,9.07052336428572
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,gap_guarded,82.5738383767857,nested_oof,9.425438376785706
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,phase_guarded,83.17662175714285,nested_oof,10.028221757142859
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,selected,82.5738383767857,nested_oof,9.425438376785706
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,completed,raw_unprotected,76.71415084672921,nested_oof,3.565750846729216
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,completed,raw_guarded,73.00257651607143,nested_oof,0.1458234839285666
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,completed,gap_guarded,73.2165420267857,nested_oof,0.0681420267857078
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,completed,phase_guarded,82.5522223107143,nested_oof,9.403822310714304
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,completed,selected,73.2165420267857,nested_oof,0.0681420267857078
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,previous_control,82.30105629068545,nested_oof,9.152656290685456
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,previous_proposed,53.457472959110234,nested_oof,19.69092704088976
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,completed,previous_control,75.21447341105095,nested_oof,2.066073411050951
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,completed,previous_proposed,-197.08494646972719,nested_oof,270.23334646972717
78f0c2e5cda9415ecec3,3015014228,B,Cond2,CMP-training-087.csv,484668020.0,484673303.0,73.1484,outer_3,retrospective,paper_v2,82.37411062670849,nested_oof,9.22571062670849
