sample_id,group_id,outer_fold,inner_fold
04afdd1c439211c8389d,CMP-training-014.csv,0,0
0503fa7532d16231373b,CMP-training-101.csv,0,0
08bde4d49afce0041d4d,CMP-training-145.csv,0,0
0a2c26346b639a082c05,CMP-training-014.csv,0,0
0a3371b2f2911c0f1d13,CMP-training-101.csv,0,0
0afebc737ab594f1c7b5,CMP-training-101.csv,0,0
0c1bfc8a83d5f95171f8,CMP-training-171.csv,0,0
0d912928e6272614a0c1,CMP-training-014.csv,0,0
0da647c8d6f4bd982136,CMP-training-101.csv,0,0
0e9036b3ff0c9055aa30,CMP-training-071.csv,0,0
11b03262e0ce339a2f9c,CMP-training-167.csv,0,0
11f30c2bc548fa0d4998,CMP-training-101.csv,0,0
12b597cb0c726a3151e4,CMP-training-101.csv,0,0
132c1b81271bab7101a3,CMP-training-101.csv,0,0
16f26f32a5d7b9b539a2,CMP-training-101.csv,0,0
186e18e542d83a07c02c,CMP-training-101.csv,0,0
1947351cf641e50cfd08,CMP-training-101.csv,0,0
1cda59e55f763233455e,CMP-training-014.csv,0,0
1d5589f63a63df3c5bc6,CMP-training-145.csv,0,0
1db3dbf17108dc540eec,CMP-training-101.csv,0,0
1e504d568421566a9d23,CMP-training-115.csv,0,0
21875bdd674560402390,CMP-training-167.csv,0,0
23c437e468750a7cb1f8,CMP-training-145.csv,0,0
253cddb18ef60ff680ab,CMP-training-101.csv,0,0
26343912e7f2fac4c0bd,CMP-training-145.csv,0,0
26c63f3c5839c506aaf9,CMP-training-101.csv,0,0
28441326f94ba0a5b14f,CMP-training-171.csv,0,0
28b351aaa3c696b0d7d9,CMP-training-014.csv,0,0
2a2939c71a2c18a9260d,CMP-training-101.csv,0,0
2d66d854edf651b287ea,CMP-training-101.csv,0,0
2d9caeef18825482c0b3,CMP-training-014.csv,0,0
2ec6700e2224a3e08867,CMP-training-101.csv,0,0
30036149fa0b55fefc28,CMP-training-115.csv,0,0
31016af190891e229488,CMP-training-067.csv,0,0
35552005e2e5bb9437a8,CMP-training-101.csv,0,0
3607962da81ca103a891,CMP-training-101.csv,0,0
3726147fdb3581d7a621,CMP-training-014.csv,0,0
3841eeb50e1c679c03fa,CMP-training-014.csv,0,0
39aa390ac4260261ad21,CMP-training-101.csv,0,0
3b9799fb6f7d990eb3a0,CMP-training-101.csv,0,0
3f03001701f4dae6e3fe,CMP-training-101.csv,0,0
465d4c727adcab8e31eb,CMP-training-101.csv,0,0
475314340343ca883cb9,CMP-training-101.csv,0,0
47a86e77d08d8d666237,CMP-training-101.csv,0,0
4c73534d684a3116a73c,CMP-training-171.csv,0,0
52c1daa786a22df7c179,CMP-training-101.csv,0,0
54533ac338be7d35ddf3,CMP-training-118.csv,0,0
55f9f8d9c9c022bfebe4,CMP-training-014.csv,0,0
58571e66aaaa10636710,CMP-training-101.csv,0,0
599487cc2ca6f8f86413,CMP-training-101.csv,0,0
5c20268fdb686e60e15a,CMP-training-101.csv,0,0
