sample_id,stage,group_id,fold,y_true,physics_oof,residual_target
14da02e0a2f258f43603,A,CMP-training-014.csv,3,65.16345,77.7826424342055,-12.619192434205502
77daff006f1cea9002a0,A,CMP-training-014.csv,3,53.6943,67.03076039619425,-13.336460396194255
1857a1493ada7d76bed0,A,CMP-training-014.csv,3,53.7738,67.9055099264684,-14.131709926468396
92d8fe506f357432916d,A,CMP-training-014.csv,3,53.42655,66.87962372888383,-13.45307372888383
8d15b2de5138dd86be60,A,CMP-training-014.csv,3,58.9389,66.63622313157383,-7.697323131573832
f134708f5da7f0cd73a9,A,CMP-training-059.csv,4,65.65575,73.35208956644708,-7.6963395664470795
74051d2f391a63f8431a,A,CMP-training-014.csv,3,64.4562,89.99538825689224,-25.539188256892245
ef0ce55340eae7563b1c,A,CMP-training-013.csv,4,55.0086,69.6574946111671,-14.648894611167094
3c31cc18b1eeb62ef763,A,CMP-training-013.csv,4,56.9127,78.73084364769124,-21.818143647691244
3e5745badbe990ad0b06,A,CMP-training-013.csv,4,56.9673,70.53297168012449,-13.565671680124488
58d2128e80e980fb65f7,A,CMP-training-018.csv,3,82.58775,85.50837942497265,-2.9206294249726454
7c48a414ed1eaa23d6f0,A,CMP-training-014.csv,3,73.4904,78.00164331538872,-4.511243315388725
21cbb1a006dc7e34f5f8,A,CMP-training-101.csv,1,76.0023,70.72275376169326,5.27954623830675
05f124c55ed02953adb0,A,CMP-training-101.csv,1,80.33985,72.79840615317713,7.541443846822872
68ed55601175ead8ca28,A,CMP-training-101.csv,1,69.92775,77.5720362465286,-7.644286246528594
89829271993d2ffe71f1,A,CMP-training-101.csv,1,75.37605,70.91739276353334,4.458657236466664
374b5b24a1888b4bb2ba,A,CMP-training-101.csv,1,74.95455,72.27209968054134,2.6824503194586526
5da523d6eed7bd968a1b,A,CMP-training-133.csv,1,79.15335,84.11105105333927,-4.957701053339264
c0007d8b42cdf1c37c39,A,CMP-training-133.csv,1,86.16075,79.57859757643705,6.582152423562945
5ca7ec914f5ccf7979fd,A,CMP-training-133.csv,1,83.77365,84.63973059851892,-0.8660805985189199
c5a68946811d7daf9335,A,CMP-training-134.csv,0,84.1707,77.88758337198067,6.283116628019329
8b1c29a1423d15e26b2e,A,CMP-training-134.csv,0,84.68055,83.85201280573122,0.828537194268776
cc330b21069ce233a312,A,CMP-training-134.csv,0,83.1678,83.1508126592349,0.016987340765098224
23bf2526d9298b1c59e7,A,CMP-training-134.csv,0,85.86135,80.06472619057944,5.796623809420566
babfa55828fc20dc9a60,A,CMP-training-134.csv,0,82.98195,84.25873330939972,-1.2767833093997183
86d5fb96aabf970f84f3,A,CMP-training-134.csv,0,85.27395,80.24686237405243,5.027087625947573
bb0dd7a5912b106f987f,A,CMP-training-134.csv,0,88.70205,79.9707729024729,8.731277097527098
0c07aa5e9cdfb3c334b8,A,CMP-training-101.csv,1,74.61195,77.82487509883848,-3.2129250988384825
81fe0c021f32a434b9a2,A,CMP-training-101.csv,1,78.7752,78.49347565292965,0.28172434707035166
7efca8681389d862ae84,A,CMP-training-101.csv,1,78.9513,71.6230004510468,7.328299548953197
1a7d2cb72ceefb8f4398,A,CMP-training-101.csv,1,79.17435,71.42897051205817,7.7453794879418325
b50fb135e6a483789bbe,A,CMP-training-047.csv,2,61.78755,74.40293961554137,-12.615389615541368
6fa26aeab9cc01ae07df,A,CMP-training-047.csv,2,65.05305,72.70184667391986,-7.648796673919861
dc334101fcbf3d2d1b5a,A,CMP-training-047.csv,2,69.52515,79.66422471108244,-10.139074711082444
761cad9cb82bfb552973,A,CMP-training-051.csv,2,65.40075,73.83780467623285,-8.437054676232847
f28190f965130285e5fc,A,CMP-training-053.csv,3,69.38895,79.37815122491536,-9.989201224915362
3b3f3f05e2ae3ab6a08f,A,CMP-training-053.csv,3,68.589,75.15088411438178,-6.561884114381783
e933735624380a9213c7,A,CMP-training-053.csv,3,72.44115,72.04594145021068,0.3952085497893165
f19f88377bd0d8b884e1,A,CMP-training-067.csv,2,61.01325,78.6275396294427,-17.614289629442695
5882794b7178766bee0a,A,CMP-training-071.csv,4,67.1346,76.37835732476874,-9.243757324768737
97f9c228599e29ab12d8,A,CMP-training-071.csv,4,68.82615,78.3126458164443,-9.486495816444304
3225fbe683f80629efd5,A,CMP-training-072.csv,3,73.5558,80.42588450698473,-6.870084506984725
a7847fa3bbe78a841929,A,CMP-training-071.csv,4,68.5083,80.77285248499311,-12.264552484993104
bcfaabd8932f6a41a5d1,A,CMP-training-071.csv,4,68.45955,72.48207841425801,-4.022528414258019
e131cc41ea8524d1629f,A,CMP-training-029.csv,1,66.1359,78.03833961654348,-11.902439616543475
5acf79ea39c99dfce54b,A,CMP-training-172.csv,4,80.22075,77.72976866416819,2.4909813358318047
