sample_id,WAFER_ID,STAGE,group_id,source_files,chamber_route,start_timestamp,end_timestamp,split
6e12493812a5f565ce96,-4230160598,A,CMP-training-000.csv,CMP-training-006.csv,4-5-6,481805836.333,481806198.0,calibration
2be9803bbdbf02137071,-4230160594,B,CMP-training-000.csv,CMP-training-008.csv,4-5-6,481859080.667,481859449.0,calibration
0d912928e6272614a0c1,-4230160436,B,CMP-training-014.csv,CMP-training-015.csv,4-5-6,482141791.0,482142175.667,train
768ed3716ed800b36423,-4230160428,A,CMP-training-020.csv,CMP-training-025.csv,4-5-6,482430691.333,482431049.667,test
116b8abb85ea208280a5,-4230160424,A,CMP-training-020.csv,CMP-training-022.csv,4-5-6,482345133.333,482345495.333,test
0e3a81eb0cb986226385,-4230160424,B,CMP-training-020.csv,CMP-training-024.csv,4-5-6,482381855.333,482382217.333,test
04afdd1c439211c8389d,-4230160416,B,CMP-training-014.csv,CMP-training-016.csv,4-5-6,482164854.333,482165236.667,train
4da37b8285072d5fce8e,-4230160408,A,CMP-training-020.csv,CMP-training-023.csv,4-5-6,482350570.0,482350934.667,test
733faafbe969be847e96,-4230160408,B,CMP-training-020.csv,CMP-training-024.csv,4-5-6,482383129.333,482383497.333,test
bccda63c87bec0a47d9c,-4228160702,A,CMP-training-000.csv,CMP-training-005.csv,4-5-6,481793143.0,481793503.0,calibration
faf9b118b6bb6efefe7e,-4228160702,B,CMP-training-000.csv,CMP-training-008.csv,4-5-6,481871532.667,481871905.667,calibration
cffaf60b05aca089e80d,-4228160698,B,CMP-training-000.csv,CMP-training-010.csv,4-5-6,481943405.0,481943779.333,calibration
6d54594b80801a7f0163,-4228160694,B,CMP-training-000.csv,CMP-training-008.csv,4-5-6,481858881.667,481859250.667,calibration
3abcf2a307208ba996a4,-4228160690,A,CMP-training-000.csv,CMP-training-004.csv,4-5-6,481768159.0,481768613.0,calibration
35ebfd06335c31593335,-4228160690,B,CMP-training-000.csv,CMP-training-005.csv,4-5-6,481795242.333,481795615.333,calibration
aabfebf8e14b506d8151,-4228160686,A,CMP-training-000.csv,CMP-training-006.csv,4-5-6,481809026.333,481809394.0,calibration
a977f34f9236cdacff16,-4228160686,B,CMP-training-000.csv,CMP-training-008.csv,4-5-6,481859461.667,481859832.667,calibration
351473c7e4037343d255,-4228160682,A,CMP-training-000.csv,CMP-training-005.csv,4-5-6,481793863.0,481794234.0,calibration
eaa7a669dfe8f22214a4,-4228160678,A,CMP-training-000.csv,CMP-training-005.csv,4-5-6,481794851.0,481795217.333,calibration
d0e1b9e587a5a312fad4,-4228160670,A,CMP-training-000.csv,CMP-training-006.csv,4-5-6,481813433.333,481813791.333,calibration
d2d996299d0391e7d6fc,-4228160670,B,CMP-training-000.csv,CMP-training-008.csv,4-5-6,481868673.333,481869045.333,calibration
69608816b1a4f857c209,-4228160662,A,CMP-training-000.csv,CMP-training-006.csv,4-5-6,481809224.0,481809586.0,calibration
e987ea7f07fb8a25b0dd,-4228160662,B,CMP-training-000.csv,CMP-training-012.csv,4-5-6,482001539.333,482001907.333,calibration
8a0ffc2f2fee8840281a,-4228160658,A,CMP-training-000.csv,CMP-training-009.csv,4-5-6,481907439.333,481907792.333,calibration
abd2d498ddc961fb5dc1,-4228160658,B,CMP-training-000.csv,CMP-training-011.csv,4-5-6,481948238.667,481948607.667,calibration
36c33a438518ee36f0ea,-4228160642,A,CMP-training-000.csv,CMP-training-006.csv,4-5-6,481813238.333,481813602.333,calibration
3e8fc3c783193cad51dd,-4228160642,B,CMP-training-000.csv,CMP-training-008.csv,4-5-6,481859661.667,481860040.0,calibration
8b02b17c76920c23a405,-4228160608,B,CMP-training-000.csv,CMP-training-005.csv,4-5-6,481777785.333,481778151.667,calibration
b886a352d8b662dc1118,-4228160604,A,CMP-training-000.csv,CMP-training-004.csv,4-5-6,481750382.0,481750755.333,calibration
e1d70ef84f51e97ba0b7,-4228160600,A,CMP-training-000.csv,CMP-training-003.csv,4-5-6,481732741.667,481733100.333,calibration
d8d132b69ad481892b4a,-4228160600,B,CMP-training-000.csv,CMP-training-004.csv,4-5-6,481757343.333,481757709.333,calibration
06c4e2ce0edf6cb6963e,-4228160596,A,CMP-training-000.csv,CMP-training-003.csv,4-5-6,481732545.333,481732909.333,calibration
8a0e21deec15547d6452,-4228160596,B,CMP-training-000.csv,CMP-training-004.csv,4-5-6,481767958.0,481768519.0,calibration
1202e8a96e82096f8f00,-4228160580,A,CMP-training-000.csv,CMP-training-003.csv,4-5-6,481734905.333,481735276.333,calibration
5967fa72261c0fd8db68,-4228160580,B,CMP-training-000.csv,CMP-training-004.csv,4-5-6,481767353.667,481767728.0,calibration
