sample_id,condition,kind,slot,reference_id,reference_WAFER_ID,reference_mrr,reference_start,reference_end,query_start,completed_before_query
98cba2b96f73f2b35fd6,Cond1,lag,1,b0976432f5cdb0d6f981,2975014184,74.54235,485335732.667,485336091.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,2,091359e46dc5fc2d3808,2981014422,77.39625,485335194.333,485335551.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,3,2105cb77f4810e21030b,2977014380,76.5222,485308618.667,485308973.0,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,4,04d3a498e32bedfc24ad,2975014168,77.2398,485308069.333,485308412.667,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,5,0ebf69720a524ea6397f,2975014172,76.0518,485297075.333,485297433.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,6,8554b54d71162b978d85,2977014410,76.1562,485296887.333,485297242.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,7,23e9637ba88d6014dabc,2975014374,74.92335,485296699.333,485297058.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,8,0efc4250bd16dac53c20,2981014384,76.3284,485291681.333,485292027.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,9,c65f0e49eefc71999b4a,2975014188,74.40255,485291496.333,485291851.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,10,8f16e3cabc1b72a0220d,2977014368,76.713,485291305.333,485291666.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,lag,11,51b053c3683cb27b71df,2975014152,78.71865,485262507.667,485262862.0,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,neighbor,1,640e343d37d4ca9ca74f,2985014414,72.88755,485378703.0,485379069.0,485356812.667,False
98cba2b96f73f2b35fd6,Cond1,neighbor,2,8ce8f567553326c6efae,2985014422,68.32365,485378901.0,485379259.0,485356812.667,False
98cba2b96f73f2b35fd6,Cond1,neighbor,3,3cf003b0e0d9406fe666,2110498228,74.7474,485380215.0,485380562.667,485356812.667,False
98cba2b96f73f2b35fd6,Cond1,neighbor,4,7d21b296498b647ea4c3,2975014148,71.10975,485380393.0,485380751.0,485356812.667,False
98cba2b96f73f2b35fd6,Cond1,neighbor,5,2bfb6726237cbdd3c4d3,2975014144,69.90225,485380581.667,485380941.0,485356812.667,False
98cba2b96f73f2b35fd6,Cond1,neighbor,6,b0976432f5cdb0d6f981,2975014184,74.54235,485335732.667,485336091.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,neighbor,7,b70083c677e3fefaab33,2979014196,70.74945,485386932.0,485387287.0,485356812.667,False
98cba2b96f73f2b35fd6,Cond1,neighbor,8,091359e46dc5fc2d3808,2981014422,77.39625,485335194.333,485335551.333,485356812.667,True
98cba2b96f73f2b35fd6,Cond1,neighbor,9,26cf2a4e83eee3c05ec4,1276253502,78.8184,486855366.0,486855717.0,485356812.667,False
98cba2b96f73f2b35fd6,Cond1,neighbor,10,2b36e74eee8972d29937,1276253498,78.42765,486872901.0,486873257.333,485356812.667,False
d5781eb69b823c502bd1,Cond1,lag,1,b559b167ff6fcf9c747b,4203773652,79.06485,482347846.333,482348201.0,482348031.667,False
d5781eb69b823c502bd1,Cond1,lag,2,d9a765103d353873cff1,-903170194,80.55015,482347655.667,482348013.667,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,3,5b3afd2ee966f3466f71,-2133929500,78.58245,482347282.667,482347639.0,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,4,ba50cafcb4b9a7822c89,-4220160694,79.85925,482347092.0,482347451.0,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,5,116b8abb85ea208280a5,-4230160424,78.33015,482345133.333,482345495.333,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,6,aa24d77b4d23f62179ce,-903170140,78.0135,482344935.333,482345300.333,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,7,e6407751fde1c2ac3d5f,4201773390,75.2973,482331347.333,482331698.667,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,8,24611b0c3a1a77bdc5b9,4201773444,74.4414,482331160.333,482331513.333,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,9,30087332c753626c270d,4199773454,73.0263,482330977.0,482331328.667,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,10,b9909663c879c896bce0,4201773434,71.343,482330794.667,482331150.333,482348031.667,True
d5781eb69b823c502bd1,Cond1,lag,11,2904556eb54f01d7a23d,-903170168,72.966,482330627.0,482330965.0,482348031.667,True
d5781eb69b823c502bd1,Cond1,neighbor,1,b559b167ff6fcf9c747b,4203773652,79.06485,482347846.333,482348201.0,482348031.667,False
d5781eb69b823c502bd1,Cond1,neighbor,2,d9a765103d353873cff1,-903170194,80.55015,482347655.667,482348013.667,482348031.667,True
d5781eb69b823c502bd1,Cond1,neighbor,3,87c1cc9c68669d824740,-903170148,77.5974,482349807.667,482350177.667,482348031.667,False
d5781eb69b823c502bd1,Cond1,neighbor,4,5b3afd2ee966f3466f71,-2133929500,78.58245,482347282.667,482347639.0,482348031.667,True
d5781eb69b823c502bd1,Cond1,neighbor,5,ba50cafcb4b9a7822c89,-4220160694,79.85925,482347092.0,482347451.0,482348031.667,True
d5781eb69b823c502bd1,Cond1,neighbor,6,b939e5b4812bd588193e,4199773692,79.15485,482350381.667,482350739.667,482348031.667,False
d5781eb69b823c502bd1,Cond1,neighbor,7,4da37b8285072d5fce8e,-4230160408,79.8045,482350570.0,482350934.667,482348031.667,False
d5781eb69b823c502bd1,Cond1,neighbor,8,116b8abb85ea208280a5,-4230160424,78.33015,482345133.333,482345495.333,482348031.667,True
d5781eb69b823c502bd1,Cond1,neighbor,9,aa24d77b4d23f62179ce,-903170140,78.0135,482344935.333,482345300.333,482348031.667,True
d5781eb69b823c502bd1,Cond1,neighbor,10,afe7f6e590165901d04b,4199773636,77.16615,482350953.0,482351316.0,482348031.667,False
bebfdab8413eaca10cec,Cond1,lag,1,fc7619eda3203e2c8268,29494116,75.30645,487105180.333,487105536.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,2,a19f5296b00f5e9e5790,29494096,74.44695,487104991.333,487105349.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,3,bca21197efa01107f8e6,29494108,74.1564,487091457.333,487091810.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,4,98e7a3a7a7e17d8d0060,43494170,77.0565,487091079.333,487091435.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,5,968ad2ee7f690e2b5339,43494194,75.6015,487082872.0,487083229.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,6,ac0edad43c4f807fa602,43494166,77.00475,487082494.333,487082852.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,7,5acf79ea39c99dfce54b,-3780722694,80.22075,487082109.333,487082469.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,8,f780fd5637561a3c3d16,43494178,73.3785,487063320.333,487063674.667,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,9,0e8a849bf0a9d9e92688,41494452,74.2878,487062756.667,487063117.333,487105552.333,True
bebfdab8413eaca10cec,Cond1,lag,10,a1c0c7bc9d164c836793,2655292676,77.9922,487060592.333,487060952.333,487105552.333,True
