sample_id,condition,feature,raw_input,standardized_input,coefficient,contribution,intercept,ols_prediction,truth,train_min,train_max
98cba2b96f73f2b35fd6,Cond1,lag_1,74.54235,0.21969669453543766,0.08637436194416637,0.01897616181174085,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_2,77.39625,0.6489845987004517,-0.08107352547999369,-0.05261546939886455,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_3,76.5222,0.5178135424802144,-0.10823418740064739,-0.05604512799539661,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_4,77.2398,0.6256741796366492,0.43419629714426833,0.27166541201701083,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_5,76.0518,0.4470594230560473,0.015274416613173969,0.006828571878603258,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_6,76.1562,0.463081223781745,0.18934506848411914,0.08768214603066421,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_7,74.92335,0.2774819186097795,-0.16144956138733235,-0.044799334052464355,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_8,76.3284,0.48898737029373074,-0.20319825898703314,-0.09936138231033377,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_9,74.40255,0.19937209008467313,0.3926509232177864,0.07828363523560658,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,lag_11,78.71865,0.8489437240933253,-0.19595638165819906,-0.1663559404047645,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,neighbor_1,72.88755,-0.0006893735943484511,3.276435712686826,-0.0022586882639065464,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,neighbor_2,68.32365,-0.7178396551065737,0.6282133783732853,-0.45095647486481455,73.08337537593903,75.33803600308525,62.7504,53.42655,88.70205
98cba2b96f73f2b35fd6,Cond1,neighbor_3,74.7474,0.23899685471504606,0.5337846507128887,0.12757285261554988,73.08337537593903,75.33803600308525,62.7504,53.6943,88.70205
98cba2b96f73f2b35fd6,Cond1,neighbor_4,71.10975,-0.23545912900277796,0.39986920694818906,-0.09415285518305216,73.08337537593903,75.33803600308525,62.7504,53.64735,86.8872
98cba2b96f73f2b35fd6,Cond1,neighbor_5,69.90225,-0.4599513781108783,0.43638635289904215,-0.2007165044046945,73.08337537593903,75.33803600308525,62.7504,53.6943,88.70205
98cba2b96f73f2b35fd6,Cond1,neighbor_6,74.54235,0.23531035125463434,0.16607148821895024,0.03907834022618105,73.08337537593903,75.33803600308525,62.7504,53.42655,86.8872
98cba2b96f73f2b35fd6,Cond1,neighbor_7,70.74945,-0.3741747841852942,-0.18282149345535714,0.06840719285809144,73.08337537593903,75.33803600308525,62.7504,53.64735,88.0587
98cba2b96f73f2b35fd6,Cond1,neighbor_8,77.39625,0.6256582505498974,0.18177047678507208,0.11372619850696894,73.08337537593903,75.33803600308525,62.7504,53.42655,86.77335
98cba2b96f73f2b35fd6,Cond1,neighbor_9,78.8184,0.8142252501317383,0.0963376015375843,0.07844050770903131,73.08337537593903,75.33803600308525,62.7504,53.64735,86.8872
98cba2b96f73f2b35fd6,Cond1,neighbor_10,78.42765,0.768974288547099,0.0780951137497361,0.06005313453470809,73.08337537593903,75.33803600308525,62.7504,53.64735,86.77335
98cba2b96f73f2b35fd6,Cond1,p2_primary_CENTER_AIR_BAG_PRESSURE_std,28.63072494304936,-2.033192667521368,0.505380470047541,-1.027535866009163,73.08337537593903,75.33803600308525,62.7504,24.6642717289444,34.95435849148916
98cba2b96f73f2b35fd6,Cond1,p2_primary_DRESSING_WATER_STATUS_auc,167.66600000858307,1.2340258547804375,0.241957172960916,0.2985814071833525,73.08337537593903,75.33803600308525,62.7504,0.5,199.0
98cba2b96f73f2b35fd6,Cond1,p2_primary_DRESSING_WATER_STATUS_mean,1.0,1.4738834544860469,-0.30528072276214147,-0.44994820625266224,73.08337537593903,75.33803600308525,62.7504,0.006622516556291391,1.0
