partition,policy,sample_id,lag_count,neighbor_count,cold_history,missing_physical_feature
outer_0,completed,768ed3716ed800b36423,11,10,False,False
outer_0,completed,116b8abb85ea208280a5,11,10,False,False
outer_0,completed,4da37b8285072d5fce8e,11,10,False,False
outer_0,completed,14da02e0a2f258f43603,11,10,False,False
outer_0,completed,77daff006f1cea9002a0,11,10,False,False
outer_0,completed,1857a1493ada7d76bed0,11,10,False,False
outer_0,completed,92d8fe506f357432916d,11,10,False,False
outer_0,completed,e846bea1cb1c675637b1,11,10,False,False
outer_0,completed,ba50cafcb4b9a7822c89,11,10,False,False
outer_0,completed,8d15b2de5138dd86be60,11,10,False,False
outer_0,completed,453e03f583f92e4e3248,11,10,False,False
outer_0,completed,74051d2f391a63f8431a,11,10,False,False
outer_0,completed,ef0ce55340eae7563b1c,11,10,False,False
outer_0,completed,3c31cc18b1eeb62ef763,11,10,False,False
outer_0,completed,3e5745badbe990ad0b06,11,10,False,False
outer_0,completed,041d6559d0ccd87a01af,11,10,False,False
outer_0,completed,ee7dfee081c5d9ca41cd,11,10,False,False
outer_0,completed,250617e7063072619ee0,11,10,False,False
outer_0,completed,1ce3c6b2e7021b990226,11,10,False,False
outer_0,completed,dfaae2fe4fd0f12fb599,11,10,False,False
outer_0,completed,f4e15565b1481af0c236,11,10,False,False
outer_0,completed,93b486b601f1d2b2546a,11,10,False,False
outer_0,completed,641fa945c9e4a10be8b1,11,10,False,False
outer_0,completed,87cb7176b9c6d517bfe6,11,10,False,False
outer_0,completed,065009dcf80d9db0c2c5,11,10,False,False
outer_0,completed,5915607beccd9fea86f9,11,10,False,False
outer_0,completed,a2fab8de1d0ed8453a2e,11,10,False,False
outer_0,completed,c6913b39a81fd7ac4495,11,10,False,False
outer_0,completed,3ae3d41b2dc600ea6397,11,10,False,False
outer_0,completed,7c48a414ed1eaa23d6f0,11,10,False,False
outer_0,completed,1faeb8d5019424019d00,11,10,False,False
outer_0,completed,a4addb65a3198aeff1ac,11,10,False,False
outer_0,completed,d4ed41e9d84ffaf012fb,11,10,False,False
outer_0,completed,cb7d70d527803bacff76,11,10,False,False
outer_0,completed,4cab8fdcda64caf7d2d1,11,10,False,False
outer_0,completed,063019c2ea741f6bb697,11,10,False,False
outer_0,completed,870c67d2afd6fb47ba00,11,10,False,False
outer_0,completed,1087736cea46dd4723d7,11,10,False,False
outer_0,completed,f28190f965130285e5fc,11,10,False,False
outer_0,completed,096ecd48968b85e4dc53,11,10,False,False
outer_0,completed,3b3f3f05e2ae3ab6a08f,11,10,False,False
outer_0,completed,e933735624380a9213c7,11,10,False,False
outer_0,completed,124dc5cc0f23e1f19fb7,11,10,False,False
outer_0,completed,c92be69667b985bd01a3,11,10,False,False
outer_0,completed,3bc0793f806ef1d1a2ba,11,10,False,False
outer_0,completed,eddaa4877bce3c885aaf,11,10,False,False
outer_0,completed,5acf79ea39c99dfce54b,11,10,False,False
outer_0,completed,042ee4d01f5cb8a343df,11,10,False,False
outer_0,completed,33884e368b875d80a794,11,10,False,False
outer_0,completed,a3a20e4e223549957616,11,10,False,False
outer_0,completed,8ce4020f4a25c84df3f0,11,10,False,False
outer_0,completed,bc5d24f5f8e462645a33,11,10,False,False
outer_0,completed,8d0f0bb85b35026cf2ba,11,10,False,False
outer_0,completed,c587585e8be44e59b889,11,10,False,False
outer_0,completed,eb2a20bc9753cf4dc868,11,10,False,False
outer_0,completed,d51d18f65021ac8ddfcc,11,10,False,False
outer_0,completed,eb1f457ee6ac6a7ee0a6,11,10,False,False
outer_0,completed,add06e60e9601d62efc7,11,10,False,False
outer_0,completed,17dd86ebb31c1048986c,11,10,False,False
outer_0,completed,5b11336807af53fc300f,11,10,False,False
outer_0,completed,7e5c1456ff5eab8655cd,11,10,False,False
outer_0,completed,c59f452bc87c634cb699,11,10,False,False
outer_0,completed,d3b0a2984f919f4c59e6,11,10,False,False
outer_0,completed,8419262d6f316adffce3,11,10,False,False
outer_0,completed,e2b85fd872c749e2d1b1,11,10,False,False
outer_0,completed,1f1f3a09923d7461c537,11,10,False,False
outer_0,completed,47f73e25687f8af5d8c3,11,10,False,False
outer_0,completed,ee52b9f73bf8b1a4e615,11,10,False,False
outer_0,completed,fee2c5c085e3c01371bc,11,10,False,False
outer_0,completed,d248e3fcc769daf67653,11,10,False,False
outer_0,completed,28a2f86e186b9da868d8,11,10,False,False
outer_0,completed,05a0eba2f884df1a6b1c,11,10,False,False
outer_0,completed,c36b52c10cf3994c1d12,11,10,False,False
outer_0,completed,0d8414c9029516091bab,11,10,False,False
outer_0,completed,308e6bd657584313b7b8,11,10,False,False
outer_0,completed,db7e67ad5e148e9223b9,11,10,False,False
outer_0,completed,5b3afd2ee966f3466f71,11,10,False,False
outer_0,completed,addc8d454d1848479936,11,10,False,False
outer_0,completed,9c7cf765c9f18f20435e,11,10,False,False
outer_0,completed,e0454a304d137385c571,11,10,False,False
outer_0,completed,feffd3b060cc3eca8ac3,11,10,False,False
outer_0,completed,c17748d4795a6e9cb1df,11,10,False,False
outer_0,completed,3dc3c84b02c31ff72003,11,10,False,False
outer_0,completed,d886641708bb99ca1e97,11,10,False,False
outer_0,completed,461c25eac3fd7a73ee18,11,10,False,False
outer_0,completed,c3be315f3fe5e7984a7c,11,10,False,False
outer_0,completed,e46546a8ad17073c028c,11,10,False,False
outer_0,completed,d9a765103d353873cff1,11,10,False,False
outer_0,completed,4bf238d58ee3f1cc5f78,11,10,False,False
outer_0,completed,2904556eb54f01d7a23d,11,10,False,False
outer_0,completed,2e4a92190c8e77b0f869,11,10,False,False
outer_0,completed,41e7ead092918fe68b3b,11,10,False,False
outer_0,completed,718f84948dac63189f78,11,10,False,False
outer_0,completed,87c1cc9c68669d824740,11,10,False,False
outer_0,completed,09cebbcacc35489ebbc1,11,10,False,False
outer_0,completed,aa24d77b4d23f62179ce,11,10,False,False
outer_0,completed,ceeb1b6a8b7f43e99ee6,11,10,False,False
outer_0,completed,ec2f3d9382ee25de57ce,11,10,False,False
outer_0,completed,1ca28c51b96273a4dd0b,11,10,False,False
outer_0,completed,a19f5296b00f5e9e5790,11,10,False,False
outer_0,completed,bca21197efa01107f8e6,11,10,False,False
outer_0,completed,fc7619eda3203e2c8268,11,10,False,False
outer_0,completed,54c09a4995be208bf201,11,10,False,False
outer_0,completed,a272110237de0f485905,11,10,False,False
outer_0,completed,d85a92240aeb0a22834c,11,10,False,False
outer_0,completed,00c5947959dc851f78a8,11,10,False,False
outer_0,completed,39bc3416eb7ca8ed7e20,11,10,False,False
outer_0,completed,fa25977b66243f6cfab1,11,10,False,False
outer_0,completed,9936e85984772008ce7e,11,10,False,False
outer_0,completed,df196a7fe3ca0e4d5ed0,11,10,False,False
outer_0,completed,8a817b046c8dc3fd2577,11,10,False,False
outer_0,completed,816be3b5d33120eb01b8,11,10,False,False
outer_0,completed,db0c15a9ac20f98ef0b4,11,10,False,False
outer_0,completed,1f7bcb13f2e5195766b5,11,10,False,False
outer_0,completed,9fcdfd7c7f13ac41b641,11,10,False,False
outer_0,completed,f8cc4809884e6953b099,11,10,False,False
outer_0,completed,35ea65b2794aeaa50a50,11,10,False,False
outer_0,completed,c43eee9c1513300c7df1,11,10,False,False
outer_0,completed,0e8a849bf0a9d9e92688,11,10,False,False
outer_0,completed,ac0edad43c4f807fa602,11,10,False,False
outer_0,completed,98e7a3a7a7e17d8d0060,11,10,False,False
outer_0,completed,f780fd5637561a3c3d16,11,10,False,False
outer_0,completed,968ad2ee7f690e2b5339,11,10,False,False
outer_0,completed,b2626c7857633e40d700,11,10,False,False
outer_0,completed,df3f8488077b3af474fd,11,10,False,False
outer_0,completed,49326cc12a60aa40141b,11,10,False,False
